code,source_description,orthopedic_subsection,status,wrvu_status,wrvu_missing_reason,work_rvu,total_rvu,global_period_days,estimated_medicare_payment,cms_source_file
12041,"Layer closure of wounds of neck, hands, feet and/or external genitalia; 2.5 cm or less",Hand Surgery,already_present,verified,,2.05,7.87,10,262.87,PPRRVU2026_Jul_nonQPP.csv
12042,"Layer closure of wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm",Hand Surgery,already_present,verified,,2.72,9.13,10,304.95,PPRRVU2026_Jul_nonQPP.csv
12044,"Layer closure of wounds of neck, hands, feet and/or external genitalia; 7.6 cm to 12.5 cm",Hand Surgery,already_present,verified,,3.11,11.62,10,388.12,PPRRVU2026_Jul_nonQPP.csv
12045,"Layer closure of wounds of neck, hands, feet and/or external genitalia; 12.6 cm to 20.0 cm",Hand Surgery,already_present,verified,,3.66,13.58,10,453.58,PPRRVU2026_Jul_nonQPP.csv
12046,"Layer closure of wounds of neck, hands, feet and/or external genitalia; 20.1 cm to 30.0 cm",Hand Surgery,already_present,verified,,4.19,16.68,10,557.13,PPRRVU2026_Jul_nonQPP.csv
12047,"Layer closure of wounds of neck, hands, feet and/or external genitalia; over 30.0 cm",Hand Surgery,already_present,verified,,4.83,18.27,10,610.23,PPRRVU2026_Jul_nonQPP.csv
13100,"Repair, complex, trunk; 1.1 cm to 2.5 cm",Hand Surgery,already_present,verified,,2.93,10.12,10,338.02,PPRRVU2026_Jul_nonQPP.csv
13101,"Repair, complex, trunk; 2.6 cm to 7.5 cm",Hand Surgery,already_present,verified,,3.41,11.69,10,390.46,PPRRVU2026_Jul_nonQPP.csv
13102,"Repair, complex, trunk; each additional 5 cm",Hand Surgery,already_present,verified,,1.21,3.6,0,120.24,PPRRVU2026_Jul_nonQPP.csv
13120,"Repair, complex, scalp, arms, and/or legs; 1.1 cm to 2.5 cm",Hand Surgery,already_present,verified,,3.15,10.51,10,351.04,PPRRVU2026_Jul_nonQPP.csv
13121,"Repair, complex, scalp, arms, and/or legs; 2.6 cm to 7.5 cm",Hand Surgery,already_present,verified,,3.9,12.51,10,417.85,PPRRVU2026_Jul_nonQPP.csv
13122,"Repair, complex, scalp, arms, and/or legs; each additional 5 cm",Hand Surgery,already_present,verified,,1.4,3.84,0,128.26,PPRRVU2026_Jul_nonQPP.csv
13131,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 1.1 cm to 2.5 cm",Hand Surgery,already_present,verified,,3.64,11.51,10,384.44,PPRRVU2026_Jul_nonQPP.csv
13132,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 2.6 cm to 7.5 cm",Hand Surgery,already_present,verified,,4.66,13.84,10,462.27,PPRRVU2026_Jul_nonQPP.csv
13133,"Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; each additional 5 cm",Hand Surgery,already_present,verified,,2.14,5.03,0,168.01,PPRRVU2026_Jul_nonQPP.csv
13160,"Secondary closure of surgical wound or dehiscence, extensive or complicated",Hand Surgery,already_present,verified,,11.74,22.18,90,740.83,PPRRVU2026_Jul_nonQPP.csv
14000,"Adjacent tissue transfer or rearrangement, trunk; defect 10 sq cm or less",Hand Surgery,already_present,verified,,6.21,19.98,90,667.35,PPRRVU2026_Jul_nonQPP.csv
14020,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10 sq cm or less",Hand Surgery,already_present,verified,,7.04,21.48,90,717.45,PPRRVU2026_Jul_nonQPP.csv
14021,"Adjacent tissue transfer or rearrangement, scalp, arms and/or legs; defect 10.1 sq cm to 30.0 sq cm",Hand Surgery,already_present,verified,,9.48,26.43,90,882.79,PPRRVU2026_Jul_nonQPP.csv
14040,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less",Hand Surgery,already_present,verified,,8.39,22.97,90,767.22,PPRRVU2026_Jul_nonQPP.csv
14041,"Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm",Hand Surgery,already_present,verified,,10.56,27.73,90,926.21,PPRRVU2026_Jul_nonQPP.csv
14300,"Adjacent tissue transfer or rearrangement, more than 30 sq cm, unusual or complicated, any area",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
14350,"Filleted finger or toe flap, including preparation of recipient site",Hand Surgery,newly_added,verified,,10.77,18.41,90,614.91,PPRRVU2026_Jul_nonQPP.csv
15000,"Excisional preparation or creation of recipient site by excision of essentially intact skin (including subcutaneous tissues), scar, or other lesion prior to repair with free skin graft (list as separate service) Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar",Hand Surgery,newly_added,not_found_deleted_inactive,"Code is absent from current CMS RVU26C non-QPP source; likely deleted, inactive, or not valued in MPFS",0.0,0.0,0,0,
15002,"including subcutaneous tissues, or incisional release of scar contracture, trunk, arms, legs; first 100 sq or 1 per cent of body area of infants and children Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar",Hand Surgery,already_present,verified,,3.56,10.87,0,363.07,PPRRVU2026_Jul_nonQPP.csv
15003,"including subcutaneous tissues, or incisional release of scar contracture, trunk, arms, legs; each additional 100 sq cm or each additional 1 per cent of body area of infants and children List separately in additional to code for primary procedure",Hand Surgery,already_present,verified,,0.78,2.24,0,74.82,PPRRVU2026_Jul_nonQPP.csv
15004,"Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar including subcutaneous tissues, or incisional release of scar contracture, face, scalp, eyelids, mouth,, Surgical preparation or creation of recipient site by excision of open wounds, burn eschar, or scar",Hand Surgery,already_present,verified,,4.47,12.11,0,404.48,PPRRVU2026_Jul_nonQPP.csv
15005,"including subcutaneous tissues, or incisional release of scar contracture, face, scalp, eyelids, mouth,, neck, ears, orbits, genitalia, hands, feet, and or multiple digits; each additional 100 sq cm or each",Hand Surgery,already_present,verified,,1.56,3.73,0,124.59,PPRRVU2026_Jul_nonQPP.csv
15050,"Pinch graft, single or multiple, to cover small ulcer, tip of digit, or other minimal open area (except on face), up to defect size of 2 cm diameter",Hand Surgery,already_present,verified,,5.43,18.14,90,605.89,PPRRVU2026_Jul_nonQPP.csv
15100,"Split graft, trunk, scalp, arms, legs, hands, and/or feet (except multiple digits); 100 sq cm or less, or each one percent of body area of infants and children (except 15050)",Hand Surgery,already_present,verified,,9.65,27.62,90,922.53,PPRRVU2026_Jul_nonQPP.csv
15101,"Split graft, trunk, scalp, arms, legs, hands, and/or feet (except multiple digits); each additional 100 sq cm, or each one percent of body area of infants and children, or part thereof",Hand Surgery,already_present,verified,,1.68,6.03,0,201.41,PPRRVU2026_Jul_nonQPP.csv
15110,"Epidermal autograft, trunk, arms, legs; first sq cm or less, or 1 per cent of body area of infants and children",Hand Surgery,already_present,verified,,10.7,26.94,90,899.82,PPRRVU2026_Jul_nonQPP.csv
15111,"Epidermal autograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1 per cent of body",Hand Surgery,already_present,verified,,1.8,3.64,0,121.58,PPRRVU2026_Jul_nonQPP.csv
15115,"Epidermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or, multiple",Hand Surgery,already_present,verified,,11,25.83,90,862.75,PPRRVU2026_Jul_nonQPP.csv
15116,"Epidermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and or, multiple digits; each additional 100 sq cm, or each additional 1 per cent of body area of infants and children, or",Hand Surgery,already_present,verified,,2.44,4.93,0,164.67,PPRRVU2026_Jul_nonQPP.csv
15120,"Split graft, face, eyelids, mouth, neck, ears, orbits, genitalia, and/or multiple digits; 100 sq cm or less, or",Hand Surgery,already_present,verified,,9.9,26.17,90,874.1,PPRRVU2026_Jul_nonQPP.csv
15121,"Split graft, face, eyelids, mouth, neck, ears, orbits, genitalia, and/or multiple digits; each additional 100 sq",Hand Surgery,already_present,verified,,1.95,6.62,0,221.11,PPRRVU2026_Jul_nonQPP.csv
