surface,code,modifier,wrvu,location
index_specs,10060,,1.19,General Surgery[70]
index_specs,10080,,1.19,General Surgery[71]
index_specs,10081,,2.44,General Surgery[72]
index_specs,10120,,1.19,General Surgery[73]
index_specs,10121,,2.67,General Surgery[74]
index_specs,10160,,1.22,General Surgery[75]
index_specs,10180,,2.24,General Surgery[76]
index_specs,11423,,2.01,General Surgery[77]
index_specs,11440,,1.02,General Surgery[78]
index_specs,11441,,1.49,General Surgery[79]
index_specs,11442,,1.73,General Surgery[80]
index_specs,11443,,2.28,General Surgery[81]
index_specs,11444,,3.11,General Surgery[82]
index_specs,11446,,4.68,General Surgery[83]
index_specs,11600,,1.59,General Surgery[84]
index_specs,11601,,2.02,General Surgery[85]
index_specs,11602,,2.21,General Surgery[86]
index_specs,11603,,2.75,General Surgery[87]
index_specs,11604,,3.09,General Surgery[88]
index_specs,11606,,4.89,General Surgery[89]
index_specs,11620,,1.6,General Surgery[90]
index_specs,11621,,2.03,General Surgery[91]
index_specs,11622,,2.35,General Surgery[92]
index_specs,11623,,3.03,General Surgery[93]
index_specs,11624,,3.53,General Surgery[94]
index_specs,11626,,4.49,General Surgery[95]
index_specs,11640,,1.63,General Surgery[96]
index_specs,11641,,2.12,General Surgery[97]
index_specs,11642,,2.55,General Surgery[98]
index_specs,11643,,3.33,General Surgery[99]
index_specs,11644,,4.23,General Surgery[100]
index_specs,11646,,6.1,General Surgery[101]
index_specs,11770,,2.59,General Surgery[102]
index_specs,12005,,1.92,General Surgery[103]
index_specs,12006,,2.33,General Surgery[104]
index_specs,12007,,2.83,General Surgery[105]
index_specs,12011,,1.04,General Surgery[106]
index_specs,12013,,1.19,General Surgery[107]
index_specs,12014,,1.53,General Surgery[108]
index_specs,12015,,1.93,General Surgery[109]
index_specs,12016,,2.61,General Surgery[110]
index_specs,12017,,3.1,General Surgery[111]
index_specs,12018,,3.52,General Surgery[112]
index_specs,12032,,2.46,General Surgery[113]
index_specs,12034,,2.9,General Surgery[114]
index_specs,12035,,3.41,General Surgery[115]
index_specs,12036,,4.12,General Surgery[116]
index_specs,12037,,4.88,General Surgery[117]
index_specs,12041,,2.05,General Surgery[118]
index_specs,12042,,2.72,General Surgery[119]
index_specs,12044,,3.11,General Surgery[120]
index_specs,12045,,3.66,General Surgery[121]
index_specs,12046,,4.19,General Surgery[122]
index_specs,12047,,4.83,General Surgery[123]
