code,modifier,canonical_key,work_rvu,status_indicator,global_indicator,description,source_file,source_year
D7412,,D7412|,0.00,R,YYY,Excision benign lesion compl,PPRRVU2026_Apr_nonQPP.csv,2026
D7413,,D7413|,0.00,R,YYY,Excision malig lesion<=1.25c,PPRRVU2026_Apr_nonQPP.csv,2026
D7414,,D7414|,0.00,R,YYY,Excision malig lesion>1.25cm,PPRRVU2026_Apr_nonQPP.csv,2026
D7415,,D7415|,0.00,R,YYY,Excision malig les complicat,PPRRVU2026_Apr_nonQPP.csv,2026
D7440,,D7440|,0.00,R,YYY,Malig tumor exc to 1.25 cm,PPRRVU2026_Apr_nonQPP.csv,2026
D7441,,D7441|,0.00,R,YYY,Malig tumor > 1.25 cm,PPRRVU2026_Apr_nonQPP.csv,2026
D7450,,D7450|,0.00,R,YYY,Rem odontogen cyst to 1.25cm,PPRRVU2026_Apr_nonQPP.csv,2026
D7451,,D7451|,0.00,R,YYY,Rem odontogen cyst > 1.25 cm,PPRRVU2026_Apr_nonQPP.csv,2026
D7460,,D7460|,0.00,R,YYY,Rem nonodonto cyst to 1.25cm,PPRRVU2026_Apr_nonQPP.csv,2026
D7461,,D7461|,0.00,R,YYY,Rem nonodonto cyst > 1.25 cm,PPRRVU2026_Apr_nonQPP.csv,2026
D7465,,D7465|,0.00,R,YYY,Lesion destruction,PPRRVU2026_Apr_nonQPP.csv,2026
D7471,,D7471|,0.00,R,YYY,Rem exostosis any site,PPRRVU2026_Apr_nonQPP.csv,2026
D7472,,D7472|,0.00,R,YYY,Removal of torus palatinus,PPRRVU2026_Apr_nonQPP.csv,2026
D7473,,D7473|,0.00,R,YYY,Remove torus mandibularis,PPRRVU2026_Apr_nonQPP.csv,2026
D7485,,D7485|,0.00,R,YYY,Surg reduct osseoustuberosit,PPRRVU2026_Apr_nonQPP.csv,2026
D7490,,D7490|,0.00,R,YYY,Maxilla or mandible resectio,PPRRVU2026_Apr_nonQPP.csv,2026
D7509,,D7509|,0.00,R,YYY,Marsupialization odon cyst,PPRRVU2026_Apr_nonQPP.csv,2026
D7510,,D7510|,0.00,R,YYY,I&d absc intraoral soft tiss,PPRRVU2026_Apr_nonQPP.csv,2026
D7511,,D7511|,0.00,R,YYY,Incision/drain abscess intra,PPRRVU2026_Apr_nonQPP.csv,2026
D7520,,D7520|,0.00,R,YYY,I&d abscess extraoral,PPRRVU2026_Apr_nonQPP.csv,2026
D7521,,D7521|,0.00,R,YYY,Incision/drain abscess extra,PPRRVU2026_Apr_nonQPP.csv,2026
D7530,,D7530|,0.00,R,YYY,Removal fb skin/areolar tiss,PPRRVU2026_Apr_nonQPP.csv,2026
D7540,,D7540|,0.00,R,YYY,Removal of fb reaction,PPRRVU2026_Apr_nonQPP.csv,2026
D7550,,D7550|,0.00,R,YYY,Removal of sloughed off bone,PPRRVU2026_Apr_nonQPP.csv,2026
D7560,,D7560|,0.00,R,YYY,Maxillary sinusotomy,PPRRVU2026_Apr_nonQPP.csv,2026
D7610,,D7610|,0.00,R,YYY,Maxilla open reduct simple,PPRRVU2026_Apr_nonQPP.csv,2026
D7620,,D7620|,0.00,R,YYY,Clsd reduct simpl maxilla fx,PPRRVU2026_Apr_nonQPP.csv,2026
D7630,,D7630|,0.00,R,YYY,Open red simpl mandible fx,PPRRVU2026_Apr_nonQPP.csv,2026
D7640,,D7640|,0.00,R,YYY,Clsd red simpl mandible fx,PPRRVU2026_Apr_nonQPP.csv,2026
D7650,,D7650|,0.00,R,YYY,Open red simp malar/zygom fx,PPRRVU2026_Apr_nonQPP.csv,2026
D7660,,D7660|,0.00,R,YYY,Clsd red simp malar/zygom fx,PPRRVU2026_Apr_nonQPP.csv,2026
D7670,,D7670|,0.00,R,YYY,Closd rductn splint alveolus,PPRRVU2026_Apr_nonQPP.csv,2026
D7671,,D7671|,0.00,R,YYY,Alveolus open reduction,PPRRVU2026_Apr_nonQPP.csv,2026
D7680,,D7680|,0.00,R,YYY,Reduct simple facial bone fx,PPRRVU2026_Apr_nonQPP.csv,2026
D7710,,D7710|,0.00,R,YYY,Maxilla open reduct compound,PPRRVU2026_Apr_nonQPP.csv,2026
D7720,,D7720|,0.00,R,YYY,Clsd reduct compd maxilla fx,PPRRVU2026_Apr_nonQPP.csv,2026
D7730,,D7730|,0.00,R,YYY,Open reduct compd mandble fx,PPRRVU2026_Apr_nonQPP.csv,2026
D7740,,D7740|,0.00,R,YYY,Clsd reduct compd mandble fx,PPRRVU2026_Apr_nonQPP.csv,2026
D7750,,D7750|,0.00,R,YYY,Open red comp malar/zygma fx,PPRRVU2026_Apr_nonQPP.csv,2026
D7760,,D7760|,0.00,R,YYY,Clsd red comp malar/zygma fx,PPRRVU2026_Apr_nonQPP.csv,2026
D7770,,D7770|,0.00,R,YYY,Open reduc compd alveolus fx,PPRRVU2026_Apr_nonQPP.csv,2026
D7771,,D7771|,0.00,R,YYY,Alveolus clsd reduc stblz te,PPRRVU2026_Apr_nonQPP.csv,2026
D7780,,D7780|,0.00,R,YYY,Reduct compnd facial bone fx,PPRRVU2026_Apr_nonQPP.csv,2026
D7810,,D7810|,0.00,R,YYY,Tmj open reduct-dislocation,PPRRVU2026_Apr_nonQPP.csv,2026
D7820,,D7820|,0.00,R,YYY,Closed tmp manipulation,PPRRVU2026_Apr_nonQPP.csv,2026
D7830,,D7830|,0.00,R,YYY,Tmj manipulation under anest,PPRRVU2026_Apr_nonQPP.csv,2026
