source,code,old_wrvu,new_wrvu,cms_year,cms_source_filename,cms_release,imported_at
index.html:SPECS,12018,4.73,3.52,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12032,2.93,2.46,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12034,3.48,2.90,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12035,4.26,3.41,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12036,4.86,4.12,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12037,5.62,4.88,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12041,2.93,2.05,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12042,3.09,2.72,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12044,3.5,3.11,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12045,4.2,3.66,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12046,4.88,4.19,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12047,5.38,4.83,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12051,3.04,2.27,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12052,3.42,2.80,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12053,3.87,3.09,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12054,4.42,3.41,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12055,5.12,4.39,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12056,5.8,5.17,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,12057,6.63,5.85,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,13101,4.5,3.41,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,13102,1.24,1.21,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,13120,3.73,3.15,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,13121,4.7,3.90,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,13122,1.24,1.40,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,13131,4.3,3.64,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,13132,5.12,4.66,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,13133,1.46,2.14,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,13151,4.8,4.23,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,13152,5.61,5.21,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,13153,1.6,2.32,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,13160,6.27,11.74,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,15756,52.85,36.02,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,16020,1.23,0.69,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
index.html:SPECS,16025,1.72,1.70,2026,PPRRVU2026_Apr_nonQPP.csv,RVU26B,2026-05-01T17:16:40.526603+00:00
