cpt_code,canonical_descriptor,title,h1,meta_description,title_matches,h1_matches,meta_matches
37220,Iliac artery angioplasty,"CPT 37220: Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, | FreeCPTCodeFinder.com","CPT 37220 Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal angioplasty","CPT code 37220 — Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal angio. Work RVU: 7.16, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",False,False,False
37221,Iliac artery stent placement,"CPT 37221: Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, | FreeCPTCodeFinder.com","CPT 37221 Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal stent placement","CPT code 37221 — Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal stent. Work RVU: 8.72, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",False,False,False
37224,Femoral/popliteal angioplasty,"CPT 37224: Revascularization, endovascular, open or percutaneous, femoral, popliteal artery | FreeCPTCodeFinder.com","CPT 37224 Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal angioplasty","CPT code 37224 — Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal angio. Work RVU: 7.16, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",False,False,False
37226,Femoral/popliteal stent placement,"CPT 37226: Revascularization, endovascular, open or percutaneous, femoral, popliteal artery | FreeCPTCodeFinder.com","CPT 37226 Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent placement","CPT code 37226 — Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent. Work RVU: 8.72, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",False,False,False
47510,"Percutaneous biliary drainage, external",CPT 47510: Introduction of percutaneous transhepatic catheter for biliary drainage | FreeCPTCodeFinder.com,CPT 47510 Introduction of percutaneous transhepatic catheter for biliary drainage,"CPT code 47510 — Introduction of percutaneous transhepatic catheter for biliary drainage. Work RVU: 5.50, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",False,False,False
92929,PCI with coronary stent; each additional branch (add-on),"CPT 92929: Percutaneous transcatheter placement of intracoronary stent(s), with coronary an | FreeCPTCodeFinder.com","CPT 92929 Percutaneous transcatheter placement of intracoronary stent(s), with coronary angioplasty when performed; each additional branch of a major coronary artery (add-on)","CPT code 92929 — Percutaneous transcatheter placement of intracoronary stent(s), with coronary angioplasty when performed; each additiona. Work RVU: 4.63, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",False,False,False
