cpt_code,canonical_descriptor,title,h1,meta_description,title_matches,h1_matches,meta_matches
37220,Iliac artery angioplasty,CPT 37220: Iliac artery angioplasty | FreeCPTCodeFinder.com,CPT 37220 Iliac artery angioplasty,"CPT code 37220 - Iliac artery angioplasty. Work RVU: 7.16, total RVU: 0.00, estimated Medicare payment: $0.00.",True,True,True
37221,Iliac artery stent placement,CPT 37221: Iliac artery stent placement | FreeCPTCodeFinder.com,CPT 37221 Iliac artery stent placement,"CPT code 37221 - Iliac artery stent placement. Work RVU: 8.72, total RVU: 0.00, estimated Medicare payment: $0.00.",True,True,True
37224,Femoral/popliteal angioplasty,CPT 37224: Femoral/popliteal angioplasty | FreeCPTCodeFinder.com,CPT 37224 Femoral/popliteal angioplasty,"CPT code 37224 - Femoral/popliteal angioplasty. Work RVU: 7.16, total RVU: 0.00, estimated Medicare payment: $0.00.",True,True,True
37226,Femoral/popliteal stent placement,CPT 37226: Femoral/popliteal stent placement | FreeCPTCodeFinder.com,CPT 37226 Femoral/popliteal stent placement,"CPT code 37226 - Femoral/popliteal stent placement. Work RVU: 8.72, total RVU: 0.00, estimated Medicare payment: $0.00.",True,True,True
47510,"Percutaneous biliary drainage, external","CPT 47510: Percutaneous biliary drainage, external | FreeCPTCodeFinder.com","CPT 47510 Percutaneous biliary drainage, external","CPT code 47510 - Percutaneous biliary drainage, external. Work RVU: 5.50, total RVU: 0.00, estimated Medicare payment: $0.00.",True,True,True
92929,PCI with coronary stent; each additional branch (add-on),CPT 92929: PCI with coronary stent; each additional branch (add-on) | FreeCPTCodeFinder.com,CPT 92929 PCI with coronary stent; each additional branch (add-on),"CPT code 92929 - PCI with coronary stent; each additional branch (add-on). Work RVU: 4.63, total RVU: 0.00, estimated Medicare payment: $0.00.",True,True,True
