code,description,status,work_rvu,facility_pe_rvu,mp_rvu,global_days,conversion_factor
74175,Cta abdomen w/contrast,A,0.00,6.59,0.03,XXX,33.4009
74181,Mri abdomen w/o contrast,A,0.00,3.79,0.02,XXX,33.4009
74182,Mri abdomen w/contrast,A,0.00,6.59,0.03,XXX,33.4009
74185,Mra abd w or w/o cntrst,R,0.00,7.54,0.04,XXX,33.4009
74190,Peritoneogram rs&i,C,0.00,0.00,0.00,XXX,33.4009
74230,X-ray xm swlng funcj c+,A,0.00,2.85,0.01,XXX,33.4009
74235,Remove esophagus obstruction,C,0.00,0.00,0.00,XXX,33.4009
74240,X-ray xm upr gi trc 1cntrst,A,0.00,2.51,0.01,XXX,33.4009
74246,X-ray xm upr gi trc 2cntrst,A,0.00,2.77,0.01,XXX,33.4009
74248,X-ray sm int f-thru std,A,0.00,1.41,0.01,ZZZ,33.4009
74250,X-ray xm sm int 1cntrst std,A,0.00,2.41,0.01,XXX,33.4009
74251,X-ray xm sm int 2cntrst std,A,0.00,8.67,0.01,XXX,33.4009
74261,Ct colonography dx,A,0.00,8.90,0.03,XXX,33.4009
74262,Ct colonography dx w/dye,A,0.00,10.27,0.03,XXX,33.4009
74263,Ct colonography screening,A,0.00,21.37,0.03,XXX,33.4009
74270,X-ray xm colon 1cntrst std,A,0.00,3.01,0.01,XXX,33.4009
74280,X-ray xm colon 2cntrst std,A,0.00,4.58,0.02,XXX,33.4009
74283,Ther nma rdctj intus/obstrcj,A,0.00,5.30,0.01,XXX,33.4009
74290,Contrast x-ray gallbladder,A,0.00,1.98,0.01,XXX,33.4009
74300,X-ray bile ducts/pancreas,C,0.00,0.00,0.00,XXX,33.4009
74301,X-rays at surgery add-on,C,0.00,0.00,0.00,ZZZ,33.4009
74328,X-ray bile duct endoscopy,C,0.00,0.00,0.00,XXX,33.4009
74329,X-ray for pancreas endoscopy,C,0.00,0.00,0.00,XXX,33.4009
74330,X-ray bile/panc endoscopy,C,0.00,0.00,0.00,XXX,33.4009
74340,X-ray guide for gi tube,C,0.00,0.00,0.00,XXX,33.4009
74355,X-ray guide intestinal tube,C,0.00,0.00,0.00,XXX,33.4009
74360,X-ray guide gi dilation,C,0.00,0.00,0.00,XXX,33.4009
74363,X-ray bile duct dilation,C,0.00,0.00,0.00,XXX,33.4009
74400,Urography iv +-kub tomog,A,0.00,3.25,0.02,XXX,33.4009
74410,Urography nfs drip&/bolus,A,0.00,3.62,0.02,XXX,33.4009
74415,Urography nfs drip&/bls w/nf,A,0.00,3.84,0.02,XXX,33.4009
